모델번호,시리얼,지역,자치구,행정동
SDOT001,OC3CL200011,parks,Seoul_Grand_Park,valet_parking1
SDOT001,OC3CL200020,main_street,Gangnam-gu,Yeoksam1(il)-dong
SDOT001,OC3CL200026,traditional_markets,Gangseo-gu,Banghwa1(il)-dong
SDOT001,OC3CL200027,main_street,Gangseo-gu,Gayang1(il)-dong
SDOT001,OC3CL200012,traditional_markets,Gwangjin-gu,Hwayang-dong
SDOT001,OC3CL200017,main_street,Gangdong-gu,Seongnae1(il)-dong
SDOT001,OC3CL200032,parks,Seongdong-gu,Seongsu1ga1(il)-dong
SDOT001,OC3CL200030,main_street,Dobong-gu,Chang1(il)-dong
SDOT001,OC3CL200022,main_street,Gangnam-gu,Daechi4(sa)-dong
SDOT001,OC3CL200025,main_street,Gangseo-gu,Gonghang-dong
SDOT001,OC3CL200018,main_street,Seongdong-gu,Seongsu1ga2(i)-dong
SDOT001,OC3CL200035,main_street,Eunpyeong-gu,Daejo-dong
SDOT001,OC3CL200016,main_street,Gangnam-gu,Apgujeong-dong
SDOT001,OC3CL200014,main_street,Jung-gu,Myeong-dong
SDOT001,OC3CL200013,main_street,Jongno-gu,Samcheong-dong
SDOT001,OC3CL200010,parks,Seoul_Grand_Park,meeting_bridge2
SDOT001,OC3CL200019,main_street,Yongsan-gu,Itaewon2(i)-dong
SDOT001,OC3CL200021,main_street,Gangnam-gu,Sinsa-dong
SDOT001,OC3CL200034,main_street,Yangcheon-gu,Sinjeong4(sa)-dong
SDOT001,OC3CL200028,main_street,Gwanak-gu,Nakseongdae-dong
SDOT001,OC3CL200052,roads_and_parks,Dobong-gu,Banghak1(il)-dong
SDOT001,OC3CL200038,main_street,Jongno-gu,Gahoe-dong
SDOT001,OC3CL200031,traditional_markets,Seodaemun-gu,Hongje3(sam)-dong
SDOT001,OC3CL200050,residential_area,Dobong-gu,Banghak1(il)-dong
SDOT001,OC3CL200044,main_street,Jung-gu,Hoehyeon-dong
SDOT001,OC3CL200045,main_street,Gangseo-gu,Banghwa3(sam)-dong
SDOT001,OC3CL200043,main_street,Jung-gu,Sindang-dong
SDOT001,OC3CL200046,main_street,Gangseo-gu,Deungchon1(il)-dong
SDOT001,OC3CL200042,main_street,Jung-gu,Gwanghui-dong
SDOT001,OC3CL200055,roads_and_parks,Seocho-gu,Banpo1(il)-dong
SDOT001,OC3CL200037,main_street,Jongno-gu,Gahoe-dong
SDOT001,OC3CL200040,main_street,Jongno-gu,Ihwa-dong
SDOT001,OC3CL200047,main_street,Jung-gu,Myeong-dong
SDOT001,OC3CL200041,main_street,Jung-gu,Sogong-dong
SDOT001,OC3CL200049,industrial_area,Dobong-gu,Chang4(sa)-dong
SDOT001,OC3CL200039,main_street,Jongno-gu,Dongseon-dong
SDOT001,OC3CL200033,parks,Songpa-gu,Jamsil6(yuk)-dong
SDOT001,OC3CL200051,roads_and_parks,Dobong-gu,Ssangmun3(sam)-dong
SDOT001,OC3CL200048,residential_area,Dobong-gu,Chang5-dong
SDOT001,OC3CL200036,parks,Eunpyeong-gu,Nokbeon-dong
SDOT001,OC3CL200072,parks,Gangdong-gu,Amsa3(sam)-dong
SDOT001,OC3CL200067,residential_area,Gangseo-gu,Deungchon2(i)-dong
SDOT001,OC3CL200054,residential_area,Seocho-gu,Bangbae2(i)-dong
SDOT001,OC3CL200058,roads_and_parks,Yangcheon-gu,Mok5(o)-dong
SDOT001,OC3CL200070,roads_and_parks,Gangdong-gu,Seongnae1(il)-dong
SDOT001,OC3CL200056,roads_and_parks,Seocho-gu,Bangbae2(i)-dong
SDOT001,OC3CL200071,roads_and_parks,Gangdong-gu,Godeok2(i)-dong
SDOT001,OC3CL200062,residential_area,Gangdong-gu,Cheonho2(i)-dong
SDOT001,OC3CL200059,roads_and_parks,Yangcheon-gu,Sinwol3(sam)-dong
SDOT001,OC3CL200076,main_street,Seocho-gu,Seocho3(sam)-dong
SDOT001,OC3CL200057,commercial_area,Geumcheon-gu,Gasan-dong
SDOT001,OC3CL200060,residential_area,Gangdong-gu,Dunchon1(il)-dong
SDOT001,OC3CL200069,residential_area,Eunpyeong-gu,Bulgwang2(i)-dong
SDOT001,OC3CL200053,roads_and_parks,Dobong-gu,Chang4(sa)-dong
SDOT001,OC3CL200075,main_street,Seocho-gu,Banpo4(sa)-dong
SDOT001,OC3CL200063,residential_area,Dobong-gu,Banghak1(il)-dong
SDOT001,OC3CL200074,main_street,Gangdong-gu,Cheonho1(il)-dong
SDOT001,OC3CL200065,parks,Seoul_Grand_Park,SeoulGrandPark
SDOT001,OC3CL200061,parks,Seoul_Grand_Park,SeoulGrandPark
SDOT001,OC3CL200066,residential_area,Gangbuk-gu,Songcheon-dong
SDOT001,OC3CL200077,main_street,Seocho-gu,Banpo3(sam)-dong
SDOT001,OC3CL200092,residential_area,Gangdong-gu,Amsa3(sam)-dong
SDOT001,OC3CL200094,residential_area,Gangdong-gu,Cheonho1(il)-dong
SDOT001,OC3CL200091,residential_area,Gangdong-gu,Sangil-dong
SDOT001,OC3CL200096,main_street,Mapo-gu,Mangwon1(il)-dong
SDOT001,OC3CL200083,residential_area,Gangdong-gu,Dunchon2(i)-dong
SDOT001,OC3CL200098,residential_area,Gangdong-gu,Sangil-dong
SDOT001,OC3CL200095,residential_area,Gangdong-gu,Godeok1(il)-dong
SDOT001,OC3CL200085,residential_area,Seocho-gu,Banpo1(il)-dong
SDOT001,OC3CL200102,residential_area,Gangdong-gu,Cheonho2(i)-dong
SDOT001,OC3CL200097,residential_area,Gangdong-gu,Gil-dong
SDOT001,OC3CL200100,parks,Gangbuk-gu,Beon3(sam)-dong
SDOT001,OC3CL200099,residential_area,Gangdong-gu,Seongnae1(il)-dong
SDOT001,OC3CL200082,residential_area,Gangseo-gu,Banghwa2(i)-dong
SDOT001,OC3CL200101,residential_area,Gangdong-gu,Cheonho1(il)-dong
SDOT001,OC3CL200093,residential_area,Gangdong-gu,Cheonho3(sam)-dong
SDOT001,OC3CL200079,main_street,Seocho-gu,Yangjae1(il)-dong
SDOT001,OC3CL200081,residential_area,Gangdong-gu,Cheonho2(i)-dong
SDOT001,OC3CL200103,residential_area,Gangdong-gu,Cheonho1(il)-dong
SDOT001,OC3CL200080,residential_area,Gangdong-gu,Godeok1(il)-dong
SDOT001,OC3CL200104,traditional_markets,Gangbuk-gu,Suyu3(sam)-dong
SDOT001,OC3CL200087,residential_area,Dongjak-gu,Sadang1(il)-dong
SDOT001,OC3CL200117,roads_and_parks,Gangdong-gu,Gangil-dong
SDOT001,OC3CL200113,residential_area,Yangcheon-gu,Sinjeong3(sam)-dong
SDOT001,OC3CL200088,residential_area,Dongjak-gu,Sang-do1(il)-dong
SDOT001,OC3CL200108,residential_area,Gangdong-gu,Godeok2(i)-dong
SDOT001,OC3CL200114,residential_area,Gangdong-gu,Cheonho2(i)-dong
SDOT001,OC3CL200073,roads_and_parks,Dongjak-gu,Sang-do4(sa)-dong
SDOT001,OC3CL200115,residential_area,Yangcheon-gu,Mok2(i)-dong
SDOT001,OC3CL200118,residential_area,Dongjak-gu,Sadang1(il)-dong
SDOT001,OC3CL200105,residential_area,Gangdong-gu,Sangil-dong
SDOT001,OC3CL200107,residential_area,Gangdong-gu,Cheonho1(il)-dong
SDOT001,OC3CL200068,residential_area,Dongjak-gu,Heukseok-dong
SDOT001,OC3CL200116,residential_area,Dongjak-gu,Sang-do4(sa)-dong
SDOT001,OC3CL200089,residential_area,Dongjak-gu,Sang-do1(il)-dong
SDOT001,OC3CL200111,residential_area,Yangcheon-gu,Sinwol7(chil)-dong
SDOT001,OC3CL200110,residential_area,Gangdong-gu,Amsa1(il)-dong
SDOT001,OC3CL200109,residential_area,Yangcheon-gu,Sinwol5(o)-dong
SDOT001,OC3CL200086,residential_area,Dongjak-gu,Sang-do1(il)-dong
SDOT001,OC3CL200106,residential_area,Gangdong-gu,Seongnae2(i)-dong
SDOT001,OC3CL200136,roads_and_parks,Gangbuk-gu,Suyu2(i)-dong
SDOT001,OC3CL200121,residential_area,Dobong-gu,Chang2(i)-dong
SDOT001,OC3CL200138,roads_and_parks,Seodaemun-gu,Hongeun1(il)-dong
SDOT001,OC3CL200134,residential_area,Gangbuk-gu,Beon1(il)-dong
SDOT001,OC3CL200119,residential_area,Dongjak-gu,Sang-do3(sam)-dong
SDOT001,OC3CL200133,residential_area,Gangbuk-gu,Songcheon-dong
SDOT001,OC3CL200129,residential_area,Gangbuk-gu,Beon3(sam)-dong
SDOT001,OC3CL200140,roads_and_parks,Gangnam-gu,Ilwonbon-dong
SDOT001,OC3CL200131,roads_and_parks,Gangdong-gu,Godeok1(il)-dong
SDOT001,OC3CL200137,roads_and_parks,Dobong-gu,Chang4(sa)-dong
SDOT001,OC3CL200125,residential_area,Dobong-gu,Banghak1(il)-dong
SDOT001,OC3CL200139,roads_and_parks,Yangcheon-gu,Sinjeong6(yuk)-dong
SDOT001,OC3CL200120,residential_area,Dongjak-gu,Sindaebang1(il)-dong
SDOT001,OC3CL200123,roads_and_parks,Gangdong-gu,Seongnae3(sam)-dong
SDOT001,OC3CL200132,residential_area,Gangbuk-gu,Insu-dong
SDOT001,OC3CL200124,residential_area,Dobong-gu,Ssangmun2(i)-dong
SDOT001,OC3CL200135,roads_and_parks,Gangnam-gu,Daechi2(i)-dong
SDOT001,OC3CL200122,residential_area,Dobong-gu,Ssangmun4(sa)-dong
SDOT001,OC3CL200128,residential_area,Dobong-gu,Dobong1(il)-dong
SDOT001,OC3CL200130,residential_area,Gangbuk-gu,Samyang-dong
SDOT001,OC3CL200149,roads_and_parks,Seodaemun-gu,Bukgajwa2(i)-dong
SDOT001,OC3CL200143,roads_and_parks,Gwangjin-gu,Junggok4(sa)-dong
SDOT001,OC3CL200155,roads_and_parks,Gangnam-gu,Nonhyeon1(il)-dong
SDOT001,OC3CL200159,roads_and_parks,Guro-gu,Oryu2(i)-dong
SDOT001,OC3CL200162,roads_and_parks,Seocho-gu,Bangbae3(sam)-dong
SDOT001,OC3CL200152,roads_and_parks,Eunpyeong-gu,Eungam3(sam)-dong
SDOT001,OC3CL200158,roads_and_parks,Gangdong-gu,Deungchon1(il)-dong
SDOT001,OC3CL200153,roads_and_parks,Jongno-gu,Sinjeong1(il)-dong
SDOT001,OC3CL200156,roads_and_parks,Gangnam-gu,Nonhyeon2(i)-dong
SDOT001,OC3CL200146,roads_and_parks,Seodaemun-gu,Hongje1(il)-dong
SDOT001,OC3CL200161,roads_and_parks,Dobong-gu,Dobong1(il)-dong
SDOT001,OC3CL200141,roads_and_parks,Gangnam-gu,Suseo-dong
SDOT001,OC3CL200151,roads_and_parks,Yangcheon-gu,Sinjeong3(sam)-dong
SDOT001,OC3CL200145,roads_and_parks,Dobong-gu,Chang3(sam)-dong
SDOT001,OC3CL200147,roads_and_parks,Seodaemun-gu,Hongje3(sam)-dong
SDOT001,OC3CL200142,roads_and_parks,Gwangjin-gu,Junggok3(sam)-dong
SDOT001,OC3CL200157,roads_and_parks,Gangnam-gu,Ilwon1(il)-dong
SDOT001,OC3CL200148,roads_and_parks,Seodaemun-gu,Hongeun2(i)-dong
SDOT001,OC3CL200150,roads_and_parks,Seodaemun-gu,Bukgajwa1(il)-dong
SDOT001,OC3CL200154,roads_and_parks,Jongno-gu,Pyeongchang-dong
SDOT001,OC3CL200177,residential_area,Gangseo-gu,Banghwa2(i)-dong
SDOT001,OC3CL200163,roads_and_parks,Seocho-gu,Yangjae1(il)-dong
SDOT001,OC3CL200169,roads_and_parks,Jungnang-gu,Sinnae1(il)-dong
SDOT001,OC3CL200165,roads_and_parks,Songpa-gu,Jangji-dong
SDOT001,OC3CL200126,roads_and_parks,Jung-gu,Sogong-dong
SDOT001,OC3CL200176,roads_and_parks,Gangnam-gu,Segok-dong
SDOT001,OC3CL200127,roads_and_parks,Jung-gu,Changsin1(il)-dong
SDOT001,OC3CL200174,roads_and_parks,Yeongdeungpo-gu,Dorim-dong
SDOT001,OC3CL200164,roads_and_parks,Seongdong-gu,Yongdap-dong
SDOT001,OC3CL200175,residential_area,Gangnam-gu,Gaepo4(sa)-dong
SDOT001,OC3CL200168,roads_and_parks,Eunpyeong-gu,Eungam1(il)-dong
SDOT001,OC3CL200171,roads_and_parks,Gangdong-gu,Godeok1(il)-dong
SDOT001,OC3CL200160,roads_and_parks,Nowon-gu,Sanggye6(yuk).7(chil)-d
SDOT001,OC3CL200172,roads_and_parks,Gangseo-gu,Hwagok8(pal)-dong
SDOT001,OC3CL200170,roads_and_parks,Gangnam-gu,Nonhyeon1(il)-dong
SDOT001,OC3CL200167,roads_and_parks,Yeongdeungpo-gu,Yangpyeong1(il)-dong
SDOT001,OC3CL200166,roads_and_parks,Yangcheon-gu,Sinjeong7(chil)-dong
SDOT001,OC3CL200144,roads_and_parks,Nowon-gu,Wolgye1(il)-dong
SDOT001,OC3CL200178,residential_area,Gangseo-gu,Banghwa1(il)-dong
SDOT001,OC3CL200173,roads_and_parks,Gwanak-gu,Jowon-dong
SDOT001,OC3CL200179,residential_area,Gangseo-gu,Gonghang-dong
SDOT001,OC3CL200188,residential_area,Gangseo-gu,Banghwa1(il)-dong
SDOT001,OC3CL200195,roads_and_parks,Dongdaemun-gu,Imun2(i)-dong
SDOT001,OC3CL200183,residential_area,Gangseo-gu,Yeomchang-dong
SDOT001,OC3CL200186,industrial_area,Gangseo-gu,Gayang1(il)-dong
SDOT001,OC3CL200193,residential_area,Guro-gu,Gu-ro3(sam)-dong
SDOT001,OC3CL200187,commercial_area,Gangseo-gu,Banghwa1(il)-dong
SDOT001,OC3CL200180,residential_area,Gangseo-gu,Gayang1(il)-dong
SDOT001,OC3CL200185,residential_area,Gangseo-gu,Yeomchang-dong
SDOT001,OC3CL200181,residential_area,Gangseo-gu,Gayang2(i)-dong
SDOT001,OC3CL200182,residential_area,Gangseo-gu,Yeomchang-dong
SDOT001,OC3CL200189,roads_and_parks,Gwanak-gu,Sinwon-dong
SDOT001,OC3CL200184,residential_area,Gangseo-gu,Deungchon2(i)-dong
SDOT001,OC3CL200191,residential_area,Guro-gu,Sugung-dong
SDOT001,OC3CL200197,roads_and_parks,Dongdaemun-gu,Cheongnyangni-dong
SDOT001,OC3CL200192,roads_and_parks,Guro-gu,Oryu2(i)-dong
SDOT001,OC3CL200196,residential_area,Dongdaemun-gu,Cheongnyangni-dong
SDOT001,OC3CL200194,roads_and_parks,Jongno-gu,Sajik-dong
SDOT001,OC3CL200198,residential_area,Seongbuk-gu,Wolgok2(i)-dong
SDOT001,OC3CL200190,roads_and_parks,Gwangjin-gu,Gwangjang-dong
SDOT001,OC3CL200217,residential_area,Seongdong-gu,Songjeong-dong
SDOT001,OC3CL200220,roads_and_parks,Jongno-gu,Ihwa-dong
SDOT001,OC3CL200219,roads_and_parks,Jongno-gu,Changsin1(il)-dong
SDOT001,OC3CL200200,residential_area,Seongbuk-gu,Jeongneung3(sam)-dong
SDOT001,OC3CL200199,industrial_area,Seongbuk-gu,Jongam-dong
SDOT001,OC3CL200209,commercial_area,Eunpyeong-gu,Jingwan-dong
SDOT001,OC3CL200208,commercial_area,Songpa-gu,Jangji-dong
SDOT001,OC3CL200221,roads_and_parks,Yongsan-gu,Hangang-ro-dong
SDOT001,OC3CL200215,residential_area,Seodaemun-gu,Hongje1(il)-dong
SDOT001,OC3CL200203,roads_and_parks,Jungnang-gu,Mangubon-dong
SDOT001,OC3CL200204,roads_and_parks,Eunpyeong-gu,Gusan-dong
SDOT001,OC3CL200214,residential_area,Seodaemun-gu,Hongje2(i)-dong
SDOT001,OC3CL200212,roads_and_parks,Jung-gu,Myeong-dong
SDOT001,OC3CL200216,residential_area,Seongdong-gu,Songjeong-dong
SDOT001,OC3CL200210,roads_and_parks,Jongno-gu,Jong-ro1(il).2(i).3(sam
SDOT001,OC3CL200213,roads_and_parks,Nowon-gu,Sanggye1(il)-dong
SDOT001,OC3CL200206,residential_area,Nowon-gu,Junggye1(il)-dong
SDOT001,OC3CL200207,commercial_area,Songpa-gu,Garak2(i)-dong
SDOT001,OC3CL200211,roads_and_parks,Jongno-gu,Jong-ro1(il).2(i).3(sam
SDOT001,OC3CL200218,residential_area,Seongdong-gu,Sageun-dong
SDOT001,OC3CL200224,residential_area,Seocho-gu,Banpobon-dong
SDOT001,OC3CL200223,residential_area,Seocho-gu,Banpobon-dong
SDOT001,OC3CL200241,roads_and_parks,Mapo-gu,Seongsan2(i)-dong
SDOT001,OC3CL200236,roads_and_parks,Seocho-gu,Yangjae2(i)-dong
SDOT001,OC3CL200229,public_facilities,Seodaemun-gu,Cheonyeon-dong
SDOT001,OC3CL200242,roads_and_parks,Mapo-gu,Mangwon1(il)-dong
SDOT001,OC3CL200225,roads_and_parks,Jungnang-gu,Muk2(i)-dong
SDOT001,OC3CL200237,roads_and_parks,Mapo-gu,Seongsan2(i)-dong
SDOT001,OC3CL200222,roads_and_parks,Seongbuk-gu,Seongbuk-dong
SDOT001,OC3CL200227,residential_area,Seongdong-gu,Sageun-dong
SDOT001,OC3CL200230,roads_and_parks,Gangseo-gu,Gayang1(il)-dong
SDOT001,OC3CL200239,roads_and_parks,Mapo-gu,Ahyeon-dong
